Question,Answer
How do I subscribe to a new publication on the Substack iOS app?,"On Discover, you can find a new publication by using the search bar or by clicking on a category that interests you.

For publications you find under Categories, you can automatically subscribe by tapping the ""+"" icon.

When on a publication, the easiest way to subscribe is by tapping the Subscribe button.

Tip: You can also find new publications by subscribing to publications that your favorite publication recommends. "
What happens after I subscribe?,"You're now a free reader and will receive a confirmation email from Substack with additional upgrade options to become a paying subscriber if the publication has paid posts and a Welcome email from the author. 

Any new posts will appear in your Inbox and you can access past posts by tapping on the publication found in your Library."
How do I view a paid post on the Substack iOS app?,"If you're already a paid subscriber to a publication, you can view a paid post on the Substack app.

If you're a free subscriber, you'll see a paywall notifying you that the post is visible for paying subscribers only. "
How do I become a paid subscriber?,"At this time, you can't change your subscription plan directly on the Substack app.

1. When viewing a publication on the app, click on the three dots in the top right corner and select ""Manage Subscription"".

2. This will open a new tab on your mobile browser and ask you to sign into your Substack account. Once you sign in, you'll be able to view a list of your subscriptions.

3. Click on ""Upgrade to paid"".

4. Choose which subscription plan you'd like and enter your card details. You'll then have immediate access to any past paid posts and be able to read any future paid posts on the app."
What does Archive mean on the Substack iOS app?,"If you see a post you'd like to read at later time in your Inbox, sliding the post to the left will archive that post.

Tap Library and select Archive.

Here, you'll see all the posts that you've archived.

Once a post has been archived, it can't be un-archived.

Your Archive on the app is unable to be cleared. "
How do I edit my profile on the Substack iOS app?,"To edit your profile on the Substack app, tap Profile and then Settings at the top right corner of your device. 

Select ""Edit Profile"" and here you'll be able to do the following:

Change your name, bio and photo.
Select which publications to display on your public Substack profile. These will appear under ""Reads"" on your profile."
How do I unsubscribe from a publication on the Substack iOS app?,"To unsubscribe from a free subscription

Tap Library and select the publication you'd like to unsubscribe from on your Subscriptions list.

Tap the three dots on the top right corner of the screen and select ""Unsubscribe""."
To unsubscribe and cancel a paid subscription,"1. On your web browser, log into your Substack Account and head to your Settings page.

2. Click on the publication you'd like to make a change to.

2. Scroll to the link that says, ""To cancel your paid subscription, click here"".

2. Tap on ""Cancel my subscription"" to complete the process.

Note: Your paid subscriber benefits will continue until the end of the subscription plan's billing cycle."
How do I cancel my paid subscription on the Substack iOS app?,"At this time, canceling a paid subscription to a publication can only be done on a web browser.

1. When viewing a publication on the app, click on the three dots in the top right corner and select ""Manage Subscription"".

2. Copy the link shown and paste it into your mobile browser. You'll be asked to sign into your Substack account. Once you sign in, you'll be able to view a list of your subscriptions.

3. Select the paid publication you want to update.

4. Scroll to the link that says, ""To cancel your paid subscription, click here"".

5. Tap ""Cancel Subscription"" to complete the process.

Note: Your paid subscriber benefits will continue until the end of the subscription plan's billing cycle."
How do I report copyright infringement?,"Substack does not allow copyright infringement on its platform. We respond to allegations of copyright infringement in accordance with the terms of the DMCA and our own copyright dispute policy. We reserve the right in all cases to (1) block access to or remove material that we believe in good faith to be copyrighted material that has been illegally copied and distributed by any of our advertisers, affiliates, content providers, members or users, and (2) remove and discontinue service to repeat infringers as further described in our repeat infringer policy.

If you believe that something on Substack infringes your copyright (or the copyright of someone you represent), please send a notice of copyright infringement containing the following information to Substack’s designated agent by submitting a request here.

Important: Alleging copyright infringement is serious business and knowingly filing a false copyright notice can itself be unlawful. Before submitting a notice, please read Substack’s entire Copyright Dispute Policy."
How do email list imports work?,"We always welcome writers coming to Substack from other services and recognize that you've worked hard to build your list over time. As a platform dedicated to helping writers build trusting relationships with their readers, we take the quality of imported email lists seriously."
Why?,"Spam complaints can damage deliverability for our entire writer community and prevent publishers from reaching their audiences. 

If we receive reports that a publication imported readers who had not opted in, we may take actions to restrict or disable publishing abilities. "
How do imports work? ,"Substack has a number of detection mechanisms in place to assess how risky your import list might be. If these detection mechanisms indicate that your email list contains recipients who have not explicitly opted in to receiving messages from you and are therefore likely to mark your emails as spam, your publication and list may be flagged for review by our Trust and Safety team. 

If your import was flagged for review, there are several ways to increase the likelihood of it being approved quickly. 

Be open and honest. It's important to provide the origin of a list. We require that lists contain only those who have explicitly opted in to receiving messages from your publication. Collections of contacts, leads, or other sources where all participants did not opt in are likely to be denied. 

Make sure your entire list has opted in. Before importing a large list, you might want to send your recipients an email asking them to explicitly opt in to receive emails through Substack. If you prefer, you can embed a signup form for your readers to manually opt in by following these steps. 

Provide as much information as possible. When importing your list, you may be prompted to answer optional questions about your list, including a URL for where your readers opted in. Voluntarily answering all of these questions will increase the likelihood that your list is approved. "
How long will it take for my list to be approved? ,"
Our Trust and Safety team works hard to ensure your list is reviewed within 72 hours, but there may be rare occasions when high import volume could cause additional delays. We appreciate your patience as we work to keep Substack free from spam and abuse. "
How do email list imports work?,"We always welcome writers coming to Substack from other services and recognize that you've worked hard to build your list over time. As a platform dedicated to helping writers build trusting relationships with their readers, we take the quality of imported email lists seriously."
Why? ,"Spam complaints can damage deliverability for our entire writer community and prevent publishers from reaching their audiences. 

If we receive reports that a publication imported readers who had not opted in, we may take actions to restrict or disable publishing abilities. "
How do imports work? ,"Substack has a number of detection mechanisms in place to assess how risky your import list might be. If these detection mechanisms indicate that your email list contains recipients who have not explicitly opted in to receiving messages from you and are therefore likely to mark your emails as spam, your publication and list may be flagged for review by our Trust and Safety team. 

If your import was flagged for review, there are several ways to increase the likelihood of it being approved quickly. 

Be open and honest. It's important to provide the origin of a list. We require that lists contain only those who have explicitly opted in to receiving messages from your publication. Collections of contacts, leads, or other sources where all participants did not opt in are likely to be denied. 

Make sure your entire list has opted in. Before importing a large list, you might want to send your recipients an email asking them to explicitly opt in to receive emails through Substack. If you prefer, you can embed a signup form for your readers to manually opt in by following these steps. 

Provide as much information as possible. When importing your list, you may be prompted to answer optional questions about your list, including a URL for where your readers opted in. Voluntarily answering all of these questions will increase the likelihood that your list is approved. "
How long will it take for my list to be approved? ,"Our Trust and Safety team works hard to ensure your list is reviewed within 72 hours, but there may be rare occasions when high import volume could cause additional delays. We appreciate your patience as we work to keep Substack free from spam and abuse."
Why is my email list import under review?,"As a platform dedicated to helping writers build trusting relationships with their readers, we pay close attention to the quality of publishers' email lists. 

Risk detection mechanisms we use to evaluate email lists may trigger human review. Our Trust and Safety team works hard to ensure your list is reviewed within 72 hours, but there may be rare occasions when high import volume could cause additional delays.

Thanks for your patience and understanding as we work to keep our platform spam free. "
Why was my email list import denied?,"As a platform dedicated to helping writers build trusting relationships with readers, we pay close attention to the quality of publishers' email lists. 

Spam complaints can damage the email sending reputation of our entire writer community and prevent publications from reaching audiences, so we may deny email lists we believe are high risk. 

A great way to work around an import denial is to embed a manual signup form off-platform so we're certain your subscribers have opted in. "
Who are these guidelines for?,"These guidelines are solely intended for use by law enforcement or official representatives of government agencies.

These guidelines are not intended for requests for information by Substack readers, writers, or non-governmental litigants in civil or criminal matters. "
How do I send a request?,"Please send all legal or law enforcement requests to ler@substackinc.com. If your agency must submit requests via mail or in person, our address is as follows: 

111 Sutter Street, 7th Floor

San Francisco, CA, 94104"
What are the requirements for submitting a legal request?,"In order for Substack to process your request it must generally meet the following conditions:

Be sent by a law enforcement agency or official government entity via a registered email domain;

Include valid and enforceable legal process, meeting the requirements of U.S. law that compels 
Substack to produce the information requested;
Contain the name and contact information of the individual law enforcement agent or government representative who is authorized to serve the request;

State with particularity the categories of records or information sought;

Include sufficient information regarding the customer account, such as an email address, in order for Substack to identify the customer account(s) at issue; and

Indicate the specific time period for which information is requested."
Legal Process Requirements ,"Substack’s disclosures to law enforcement are subject to the requirements of U.S. law, including the requirements of the Stored Communications Act, 18 U.S.C. § 2701 et seq. Where a U.S. law enforcement request seeks the contents of communications sent or received through Substack’s products or services, the law will typically require a valid U.S. search warrant.

Requests from non-U.S. law enforcement, for both content and non-content subscriber information, may be fulfilled where allowed under the CLOUD Act. Otherwise, the requesting agency should seek U.S. assistance under a Mutual Legal Assistance Treaty.

Substack may waive process requirements for emergencies, where appropriate and legally permissible."
Substack’s Disclosures to Users ,"Per Substack’s Privacy Policy, we will use reasonable efforts to provide notice to our users  when we respond to a request for their information unless we are explicitly prohibited from doing so by law.

Law enforcement or other official government agencies that do not want Substack to notify our users of their request should include a court order or reference to other legal authority that bars Substack from disclosing the existence of the request to our customer.

If your request for information draws Substack’s attention to a violation of our Terms of Service or Publisher Agreement, Substack will take action to prevent further abuse, which may alert the customer to Substack’s awareness of its misconduct. Your request should explicitly include instruction to Substack to not take action if you wish to prevent potential awareness on the part of Substack end users."
Emergency Disclosures,"We may disclose information to law enforcement where we believe that emergency circumstances involving danger of death or serious physical injury require us to provide rapid disclosure. 

Substack will evaluate emergency disclosure requests on a case-by-case basis with reference to applicable law."
How do I make an emergency disclosure request for customer information?,"To make an emergency disclosure, take the following steps:

Send an email of your request to ler@substackinc.com. 

Include “URGENT” or “EMERGENCY REQUEST” in the subject line of your email.

Briefly describe the nature of the emergency and why such information is requested of Substack
"
What are the requirements for Substack to respond to an emergency request?,"For Substack to process an emergency disclosure request, the request must:

Be in writing (submitted through email);

Be sent by a law enforcement agency or official government representative sent via a registered email domain;

Be issued due to a legitimate belief that there exists a danger of death or serious physical injury to a person that Substack may have information necessary to prevent;

Include the nature of the emergency that requires disclosure, without delay, of the customer information requested;

Explain how the information sought will help avert the threatened death or serious physical injury and why normal disclosure processes would be insufficient or untimely in light of the deadline requested;

Contain the name and contact information of the individual law enforcement or authorized government agent serving the request;

State with particularity the categories of records or information sought;

Include sufficient information regarding the customer account, such as an email address, in order for Substack to identify the customer account(s) at issue; and

Indicate the specific time period for which customer information is requested.

Note: Per Substack’s Privacy Policy, we will use reasonable efforts to provide notice to our customer when we receive a request for their information unless we are explicitly prohibited from doing so by law."
Child Safety Matters,"Substack reports apparent instances of child exploitation detected on our services to the National Center for Missing and Exploited Children, including content drawn to our attention by law enforcement. If a request relates to child exploitation, an AMBER alert, or some other child safety matter, please include “CHILD SAFETY MATTER” in the subject line of your request."
What Services Does Substack Provide? ,"Substack is an online platform that provides publishing, payment, analytics, and design infrastructure and services to support subscription newsletters. 

Publishers use Substack’s services to send newsletters to email subscribers who have opted in to receive their communications. 

Readers use Substack’s services via web, email, mobile application, or RSS feed to subscribe to and receive newsletters. "
Preservation Requests,"Substack does not guarantee the existence or retention of particular customer information. However, Substack will preserve any customer information in its possession in response to a formal and valid request from a law enforcement agency that includes a specific time range for preservation not to exceed 90 days."
Preservation requests must: ,"Be in writing;

Be sent by a law enforcement agency or official government entity via a registered email domain;

Contain the name and contact information of the individual law enforcement agent or authorized government agent serving the request;

State with particularity the categories of records or information sought;

Include sufficient information regarding the customer account, such as an email address for 

Substack to identify the customer account(s) at issue; indicate the specific time period for which customer information is requested; and

Be limited to only that customer information which you intend to obtain legal process to receive.

Note: Per Substack’s Privacy Policy, we will use reasonable efforts to provide notice to our customer when we receive a request for their information unless we are explicitly prohibited from doing so by law. Substack may notify the user of the preservation request unless explicitly prohibited from doing so by statute, subpoena or court or administrative order."
Takedown Requests ,"Substack will consider requests to disable content on a case-by-case basis. Substack may notify the user of the request unless explicitly prohibited from doing so by statute, subpoena or court or administrative order."
Response Time ,"Substack typically responds to valid requests for information within two business weeks. However, response times may take longer than two business weeks depending on the complexity and scope of the request.

If you require an expedited response, the required response deadline should be stated clearly in both the submission documentation and the formal request itself.

These guidelines are regularly reviewed by Substack and are subject to change at our discretion."
How can I recover my Substack account if I lose access?,"If you're unable to log in to Substack because you've lost access to your email address, can't remember the address used to create your account, or no longer have access to the device used to set up two-factor authentication please contact our Trust & Safety team using this form. 

We may be able to help you recover your account, but it's not possible in all cases. You'll be asked to provide answers to account security questions if you have them enabled and may be prompted to verify additional account details like payment information.  

We strongly encourage our entire Substack community to enable account security questions by following these steps. Enabling this security feature makes it much more likely that we'll be able to grant you access again so you can get back to reading and writing. "
What is Two-Factor Authentication? How do I use it?,"We use two-factor authentication to keep your Substack account secure. If enabled on your account, you'll need more than just your password to log in.

What's two-factor authentication?

Two-factor authentication (also called “2FA” ) gives your account two layers of protection. To sign into Substack:

You'll log in by requesting a sign in link to your email or log in using your password.

You'll then be asked to enter a confirmation code found on the authenticator app.

Tip: An authenticator app is an app you can find on the App Store or Google Play, such as Google Authenticator or 1Password. "
How do I set up two-factor authentication?,"1. Enable recovery questions which can be used in the event you lose access to your email or authenticator app.

2. Once you've set up your questions, click ""Enable"" under Two-Factor Authentication.

3. Open the authentication app of your choice and scan the QR code to link it to your Substack account.

4. The authentication app will display a confirmation code.

5. Enter the 6-digit confirmation code on Substack and click ""Submit"".

Once enabled, you'll be asked to enter a new code every time you log into your Substack account. The authentication app will generate a new code every 30 seconds.

Note: Lost access to the device that's linked to your Substack two-factor authentication?  Learn more here on what steps you can take to recover your Substack account."
Can I receive emails to my Substack email address from my subscribers only?,"Can I receive emails to my Substack email address from my subscribers only?

To only receive emails from your subscribers to your Substack email address (subdomain@substack.com), follow these two steps.

1. Head to your Settings page and scroll to ""Receive email replies to your posts from"".

2. Select ""All subscribers"" from the dropdown box."
Why would I change my settings?,"If your email replies setting is currently set to ""Everyone"", then anyone can email you at your @substack.com author alias.

There have been instances of email alias spoofing in which a spammer can send a message using your @substack.com author alias (to a list of non-subscriber addresses the spammer has acquired outside of Substack). If you have your setting set to ""Everyone"", you may receive email replies from non-readers to a spam email that was sent by a spammer."
Can my publication host sponsored ads?,"At Substack, we believe that direct relationships between readers and writers make for a healthier information ecosystem. That's why our business model relies solely on subscriptions instead of revenue from advertisers. That said, you're welcome to host sponsored content and we don't have any policies in place that prohibit publishers from doing so.  

If you're thinking about hosting sponsored content, we recommend that you closely review the Publisher Agreement and our Content Guidelines which prohibit certain practices around advertising and monetizing your publication. "
How can I prevent being added to a list without my permission?,"For readers:

To be in control of the email lists you are added to on Substack, turn on email confirmations. 

1. Log into your Substack account and click on your profile icon at the top right corner.

2. Select Settings in the dropdown menu.

3. Scroll to the bottom of the page to Advanced Settings.

4. Select the toggle next to ""Require verification to receive emails""."
How do I request the removal of a deceased family member’s Substack publication?,"If a family member or loved one has passed away, we’re very sorry for your loss. You can request the cancellation of their subscriptions and deletion of their account by contacting our Support Team with your request. 

Note: We can only remove content of deceased publishers."
What information do I need to provide with my request?,"We ask that your request includes one of the following forms of documentation to provide proof of authority:

Power of attorney 

Birth certificate

Last will and testament 

Estate letter 

We also ask that you provide proof that your loved one has passed away with one of these forms of documentation: 

Obituary 

Memorial card 

Important: Please cover any highly sensitive information (such as social security numbers) when submitting these documents."
Are there any limitations on what Substack can do?,"We cannot take any of the following actions on behalf of a deceased publisher: 

Grant account access to a non-account holder 

Change banking information 

Grant Stripe access to a non-account holder

Refund subscribers to the publication 

Transfer ownership of the account 

Make paid only content free

Export publication account data "
How do I request the deletion of a deceased family member’s Substack account?,"If a family member or loved one has passed away, we’re very sorry for your loss. You can request the cancellation of their subscriptions and deletion of their account by reaching our Support Team with your request. 

Note: We can only delete accounts and cancel subscriptions of deceased account holders.
"
What do I need to provide in my request?,"We ask that your request includes one of the following forms of documentation to provide proof of authority:

Power of attorney 

Birth certificate

Last will and testament 

Estate letter 

We also ask that you provide proof that your loved one has passed away with one of these forms of documentation: 

Obituary 

Memorial card 

Important: Please cover any highly sensitive information (such as social security numbers) when submitting these documents. "
Are there any limitations on what Substack can do?,"We cannot take any of the following actions on behalf of a deceased account holder: 

Change reader profile information 

Allow account access 

Change payment methods "
How do I submit a DMCA counter notice?,"Under the DMCA, you have the right to respond to an allegation of infringement by sending us a counter notification detailing why you believe your use of content is not infringing. We recommend you use this form to submit any DMCA counter notification. If you would prefer to submit your counter notification in writing, please refer to our copyright dispute policy and the requirements of 17 U.S.C. § 512(g)(3) to ensure your submission is actionable. If you’re looking for guidance on preparing a counterclaim, we think that the guide produced by Github is a good one. 

Upon receipt of a counterclaim, Substack must notify the complaining party and send them a copy of your counterclaim. The complaining party then has 10 days to file a legal action in court and send Substack evidence that it has done so. 

If you file a counterclaim and the complaining party fails to provide Substack evidence of a pending court case within ten days, Substack will re-publish the disputed content. 

The decision to file a counter notification is yours alone. Keep in mind that while a counter notification may result in the reactivation of your post,  the rightsholder in question may instead respond by filing a lawsuit. Please note that Substack has adopted a repeat infringer policy that will, in appropriate circumstances, terminate the user accounts of repeat copyright infringers. 

Finally, you should know that Substack offers legal support to writers that are facing threats as a result of their work through our Defender program. More details about eligibility and how to apply for assistance are available here."
How do I report a content violation?,"We want Substack to be a safe place for discussion and expression. At the same time, we believe that critique and discussion of controversial issues are part of robust discourse, so we work to find a reasonable balance between these two priorities. 

If you see content that violates Substack’s Content Guidelines, you can report it by submitting a request for our Trust & Safety team to review here. 

Depending on the violation you're reporting, we might need to ask you a few extra questions while we investigate. Our Trust & Safety team will review the reported content in the order that we received it and take the appropriate action.
"
How do I delete my Substack account?,"Need to delete your Substack account? We're sad to see you go but please follow the steps below:

For writers:

1. Log into your Substack account and head to your publication's Settings page.

2. Scroll down to the Danger Zone.

3. If you’re an author of a publication with paid subscriptions, you'll need to turn off paid subscriptions and disconnect your Stripe account first. 

4. After turning off paid subscriptions, click on ""Delete (your publication name)"" to confirm that this is truly what you'd like to do.

Note: Using this self-deletion option will not automatically issue any refunds. If you’d like to request a refund or need help disconnecting a Stripe account, please contact our Support team.

For readers:

1. Go to your Settings page: https://substack.com/settings.

2. Scroll down to ""Delete your account"" under Advanced Settings."
What will happen when I delete my account?,"This self-deletion option will:

Delete all your data

Cancel all your subscriptions

Permanently erase all of your information except for anonymized analytics data and the limited records we require for regulatory, compliance, and security purposes

Please read our privacy policy for more information on how we use, retain, and delete your data."
How do I ban a list of users from commenting or subscribing?,"1. Log in to your Substack account and head to your publication's Settings page. 

2. Scroll down to the Community section and under ""Comment and subscriber bans"" click on ""Manage bans"". 

On this page, you can either: 

Enter a list of emails in the dialog box to ban, separated by commas. 

Upload a .csv file listing each email in a separate line, without commas. 

After entering an email address, you can select which kind of ban you want to apply (commenting, subscribing, or both) and how long you want the bans to last. 
"
What user data does Substack collect?,"If you have questions or concerns regarding your privacy while using Substack, you can access our full Privacy Policy: https://substack.com/privacy

If you’re a California resident with questions or concerns about the processing of certain personal data subject to the California Consumer Privacy Act, you can access our full CCPA Policy: https://substack.com/ccpa."
What do I do if my Substack work is being plagiarized on another platform?,"Plagiarism, Copyright, and You

What to do when your work’s been copied

So someone’s taken your article, copied and pasted it, and slapped their name on it elsewhere on the web. You’ve asked them to take down your work to no avail. What’s a writer to do? It’s probably a good idea to talk to a lawyer (more on that below), but we’ve compiled some useful information here to help get you situated.

Your First Stop: Shaming

Falsely claiming authorship of someone else’s writing is plagiarism. It’s not always unlawful, but it’s very often wrongful — the type of bad act that damages reputations and careers. When your plagiarist is a big name or has a big platform, calling them out might be enough to resolve your problem. You get the recognition you deserve; your plagiarist gets the scorn they’ve got coming.

Next Up: Copyright

But many times you’re not dealing with a big name, or someone with any shame at all. The good news is that copying someone else’s writing, as plagiarists tend to do, will often be copyright infringement. Copyright infringement is against the law, and copyright owners have a variety of legal tools at their disposal to help fix it. 

Copyright ownership happens automatically and instantly; it’s a right you get when you create original work. Thanks to copyright treaties, most people in the world get rights in most countries — no paperwork required.

Takedowns and the Digital Millennium Copyright Act (DMCA)

Platforms have a strong incentive to remove content when they receive a valid copyright takedown notice (often called a “DMCA notice” after the U.S. law). Find a platform’s copyright policy and send a notice that meets their requirements — this will be enough to see content removed from many reputable hosts. If your infringer is on Substack, let us know ASAP!

Delisting on Google

Even when the host platform doesn’t respond to a takedown notice, Google Search (and other search engines) might. This doesn’t remove anything from the internet, but it can make the offending content less visible in search results. Google provides a form where you can submit a DMCA notice here. 

Finally: Legal Action

Depending on the details, your infringer might be on the hook for significant money damages. Talking to a lawyer is the first step to thinking through whether a legal claim is worth it. 

A word to U.S. writers: whether or not you have already registered your work with the Copyright Office might be make-or-break on whether it’s worth your time to go to court. Copyright is automatic, but the U.S. has rules that disadvantage copyright owners who don’t register their work with the U.S. Copyright Office. For Americans, registration is a requirement before suing for infringement, and doing it early is key to securing the right to “statutory damages” — something that can be essential to the financial viability of a lawsuit. 

Registering everything you write individually probably won’t make practical or financial sense, but there are bulk registration options and for that certain special piece, the minor inconvenience and small filing fee might be worth it.

You might have limited options

The internet is vast, and it can be expensive to enforce your rights. Different countries have different laws and different commitments to the rule of law. Ever met someone with a harddrive full of torrented Hollywood movies? The same realities that make it hard for big industry players to stave off infringement are going to make it difficult for you as well. Depending on where your infringer is based, practical options might be limited. Still, don’t assume you don’t have any options — many writers get their plagiarists to take content down or pay damages every year.

Disclaimer

The information on this site is for general informational purposes and is not legal advice. Consult a licensed professional for guidance on your specific situation. "
How do I ban or un-ban someone from commenting on my publication?,"To ban a reader:

1. Navigate to the reader's comment.

2. Click the three dots underneath.

3. Select ""Ban or suspend user"".

4. Make the following choices:

How long you'd like to ban the user from commenting for (an hour, 24 hours, a week, a month, or indefinitely).

Select or uncheck the box if you'd like to remove all their comments from any posts on your publication.

The ban will automatically expire after the time period you specified (e.g., one week). To un-ban someone before then, head to your publication's Settings page and under ""Comment and subscribe bans"", click ""Manage bans"".

Next to the person's name, click ""End ban""."
How do I view and manage a list of people I've banned from commenting?,"1. Log in to your Substack account and head to your publication's Settings page. 

2. Scroll down to the Community section and under ""Comment and subscriber bans"" click on ""Manage bans"". 

""Active"" bans are readers who are currently banned.

""Inactive"" bans are readers who've been previously banned.

The ""Comment"" column links to the comment you banned them for."
What is Substack's refund policy?,"Publisher Refunds

Substack Publishers may issue refunds, at any time, at their discretion as permitted by the functionality of the platform and Stripe, our payment processor.

Publishers who wish to learn more on how to issue refunds can do so here.

Subscriber Refunds

Subscriber refund requests should be made directly to the Publisher of the subscribed publication, who will issue refunds at their discretion. 

In the event that a reader has trouble contacting the Publisher, or if the Publisher is unresponsive, please contact our Support team through this form; and Substack will honor the refund request according to (1), (2), (3) of our Refund Policy below as well as other discretionary cases.

If a refund request is made within 7 days of payment.
If payment has been made to a dormant publication. 
A dormant publication is a publication which has had at least 6 months of inactivity for the annual subscription tier or at least 1 month of inactivity for the monthly subscription tier (from the date of your payment). Inactivity means that the publication has not published any articles.
If there has been a service issue. 
A service issue is an issue occurring at a technical or server level (i.e., a software bug which creates a delay in the receipt of a publisher’s email). A pro-rata refund, based on the delay and/or extent of the service issue, will be provided.
Note: Please note that refunds can take up to 5-10 business days to appear on your credit card statement.

To learn more, please read our Terms of Use."
How do I stop receiving emails from Substack?,"When you subscribe to a publication on Substack, free or paid, we automatically create a Substack account for you.

We'll send occasional emails about new features or recommend other publications to read.

To stop receiving emails from Substack, follow these steps:

1. Click on your profile icon and select Settings from the drop-down menu.

2. On your Settings page, head to the Notifications section.

To stop receiving emails about new features and updates, click on the toggle next to Marketing.

To stop receiving Recommendations emails, click on the toggle next to Recommendations to read.
"
How long can I keep my subdomain?,"Writers can keep a Substack domain indefinitely so long as their publication remains active.

If a publication is inactive for more than three months and its subdomain is requested by another publisher, our policy is to ask the publisher for permission to reassign the subdomain ([name].substack.com) to the requester.

We may reassign a subdomain at any time at our discretion if we believe that the use of the subdomain poses a security risk to our platform, employees, or users.

Please note that we may decide to reassign a subdomain without a holder’s explicit permission if we believe the holder is exploiting the subdomain with no intention to become an active platform participant or publisher.

In order to keep any subdomain, activity on your publication should be authentic. We reserve the right to use our discretion when evaluating whether content has been published for the sole purpose of domain squatting."
How do I reset my password?,"If you can't remember your password to your Substack account, we can send you an email to set a new password.

Visit the Forgot Password page and we'll email you a link that you can use to set your password.
"
I haven't received an email– what can I do?,"We recommend trying these troubleshooting tips:

Check your spam folder to see if our emails have gone there. If so, make sure to ""mark as not spam"" in your email client.

If you are on a corporate or government email account, talk to your IT department and tell them to whitelist emails from Substack.com.They often have email filters that are out of your individual control and can quickly resolve the issue.

If you're still not getting our password reset emails, just get in touch with us and we can help!"
How do the top publication lists on Substack's homepage work?,"
""Top paid"" are ranked according to the number of paying subscribers a publication has.

""All"" refers to all the publications in that category."
How much does Substack cost?,"For readers:
Subscription plans, such as monthly and annual, are set by writers. Substack won't charge you any additional fees and we accept most major credit cards such as Visa, MasterCard, Discover, and American Express.

For writers:
Publishing is free on Substack– no matter how many subscribers you have!

If you add paid subscriptions, we charge 10% and there is a credit card fee charged by Stripe, our payments processor.

Tip: After enabling payments and getting your first paid subscribers, you can view these fees (Stripe and Substack's) on your Stripe dashboard."
How do I update my Substack profile?,"When logged into your Substack account, click on your profile photo in the upper right corner and select your name.

Your profile will display:

Your photo and bio

What publications you write for

What publications you read and which you're a paying subscriber to

Feed of your Substack publication and posts you like"
How do I make changes to my Substack profile?,"To make changes, click on ""Edit profile"" when on your profile page.

To change your photo: Click on the pencil icon and select a new photo from your device.

To show or hide what publications you read: Scroll to the Listed subscriptions section and adjust the toggle. If the toggle is to the right, this publication will be displayed on your profile. If the toggle is to the left, this publication will be hidden.

Activity privacy: Posts you like will appear on your Substack profile if this is enabled. To hide your likes, toggle this setting to Off.

Note: Need to change your email address? Learn more here on how to make that update."
I'm having trouble loading the website. What should I do?,"If you're having trouble loading the website, it might be due to:

Internet connectivity issues on your computer. Click here to test your connection.
A local firewall blocking our website. Make sure to whitelist ""substack.com"" (without quotes) in your firewall configuration.
Substack might be experiencing service issues. You can always check the status of our platform at substack.statuspage.io."
How do I log into the Substack app? I haven't received the login email link.,"For current subscribers

Enter the email address you use to subscribe to publications on Substack i.e. the same email address you receive newsletters at on the login screen and we'll send you an email with a special sign in link.

Once you get the Substack email, tap the link and you'll be automatically signed into the Substack app. This link can only be used once and will expires after 24 hours. You may see the app login page loading while we send you the link to your email.

If you've already set up a password and would prefer to login that way, click on ""Log in with password"" on the Substack app login page and enter your email address and password.

For new readers

If you're new to Substack, enter an email address you'd like to use to sign up for a Substack account. Once you log into the app, you'll be able to create a profile and become a free subscriber to any publications you'd like."
I'm not seeing the login email link– what can I do?,"If you're not receiving an email from Substack with the login link and have checked your Spam folder, it's possible that we've been previously marked as spam and your email provider has blocked us.

Contact our Support team and we can check if there's a block so that you can start receiving emails again."
What happens if I delete the Substack app?,"Deleting the app will remove the app from your device but will not close your Substack account nor unsubscribe you from publications.

If you delete the Substack app,  your email newsletters will automatically resume for publications you're subscribed to.

To close your Substack account, please follow these steps. https://support.substack.com/hc/en-us/articles/360060692511"
How do I delete my Substack account?,"Need to delete your Substack account? We're sad to see you go but please follow the steps below:

For writers:

1. Log into your Substack account and head to your publication's Settings page.

2. Scroll down to the Danger Zone.

3. If you’re an author of a publication with paid subscriptions, you'll need to turn off paid subscriptions and disconnect your Stripe account first. 

4. After turning off paid subscriptions, click on ""Delete (your publication name)"" to confirm that this is truly what you'd like to do.

Note: Using this self-deletion option will not automatically issue any refunds. If you’d like to request a refund or need help disconnecting a Stripe account, please contact our Support team.

For readers:

1. Go to your Settings page: https://substack.com/settings.

2. Scroll down to ""Delete your account"" under Advanced Settings."
What will happen when I delete my account?,"This self-deletion option will:

Delete all your data

Cancel all your subscriptions

Permanently erase all of your information except for anonymized analytics data and the limited records we require for regulatory, compliance, and security purposes

Please read our privacy policy for more information on how we use, retain, and delete your data. "
